Date,Day of Week,Visits,Year,xmas,cl,Class,days from christmas,springb,springb2,sb,break,holiday,snowfall,snowclass,Snowclass,numsnowclass,weekday,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,SeasonDay,class,wkday,wkday2,dec,spred
11/20/2013,Wednesday,645,1,0,1,2,28,0,0,0,0,0,0,None,none,0,1,0,0,0,0,0,1,0,1,medium,1,1,0,1
11/21/2013,Thursday,317,1,0,1,1,27,0,0,0,0,0,0,None,none,0,1,0,0,0,0,0,0,1,2,low,0,1,0,2
11/22/2013,Friday,303,1,0,1,1,26,0,0,0,0,0,0,None,none,0,0,1,0,0,0,0,0,0,3,low,0,0,0,3
11/23/2013,Saturday,1160,1,0,2,3,25,0,0,0,0,0,0,None,none,0,0,0,1,0,0,0,0,0,4,high,0,0,0,3
11/24/2013,Sunday,822,1,0,1,2,24,0,0,0,0,0,0,None,none,0,0,0,0,1,0,0,0,0,5,medium,0,0,0,3
12/2/2013,Monday,496,1,0,1,1,23,0,0,0,0,0,15,High,high,5,1,0,0,0,1,0,0,0,6,low,1,0,1,2
12/3/2013,Tuesday,544,1,0,1,2,22,0,0,0,0,0,3,Low,low,1,1,0,0,0,0,1,0,0,7,medium,1,1,1,2
12/4/2013,Wednesday,454,1,0,1,1,21,0,0,0,0,0,0,None,none,0,1,0,0,0,0,0,1,0,8,low,1,1,1,2
12/5/2013,Thursday,397,1,0,1,1,20,0,0,0,0,0,0,None,none,0,1,0,0,0,0,0,0,1,9,low,0,1,1,2
12/6/2013,Friday,345,1,0,1,1,19,0,0,0,0,0,0,None,none,0,0,1,0,0,0,0,0,0,10,low,0,0,1,3
12/7/2013,Saturday,1772,1,0,2,3,18,0,0,0,0,0,0,None,none,0,0,0,1,0,0,0,0,0,11,high,0,0,1,3
12/8/2013,Sunday,1603,1,0,2,3,17,0,0,0,0,0,0,None,none,0,0,0,0,1,0,0,0,0,12,high,0,0,1,3
12/9/2013,Monday,215,1,0,1,1,16,0,0,0,0,0,0,None,none,0,1,0,0,0,1,0,0,0,13,low,1,0,1,2
12/10/2013,Tuesday,190,1,0,1,1,15,0,0,0,0,0,0,None,none,0,1,0,0,0,0,1,0,0,14,low,1,1,1,2
12/11/2013,Wednesday,310,1,0,1,1,14,0,0,0,0,0,0,None,none,0,1,0,0,0,0,0,1,0,15,low,1,1,1,2
12/12/2013,Thursday,353,1,0,1,1,13,0,0,0,0,0,0,None,none,0,1,0,0,0,0,0,0,1,16,low,0,1,1,2
12/13/2013,Friday,741,1,0,1,2,12,0,0,0,0,0,0,None,none,0,0,1,0,0,0,0,0,0,17,medium,0,0,1,3
12/14/2013,Saturday,2698,1,1,3,3,11,0,0,0,1,0,1,Low,low,1,0,0,1,0,0,0,0,0,18,high,0,0,1,3
12/15/2013,Sunday,1775,1,1,2,3,10,0,0,0,1,0,0,None,none,0,0,0,0,1,0,0,0,0,19,high,0,0,1,3
12/16/2013,Monday,551,1,1,1,2,9,0,0,0,1,0,0,None,none,0,1,0,0,0,1,0,0,0,20,medium,1,0,1,2
12/17/2013,Tuesday,320,1,1,1,1,8,0,0,0,1,0,0,None,none,0,1,0,0,0,0,1,0,0,21,low,1,1,1,2
12/18/2013,Wednesday,362,1,1,1,1,7,0,0,0,1,0,0,None,none,0,1,0,0,0,0,0,1,0,22,low,1,1,1,2
12/19/2013,Thursday,586,1,1,1,2,6,0,0,0,1,0,1,Low,low,1,1,0,0,0,0,0,0,1,23,medium,0,1,1,2
12/20/2013,Friday,893,1,1,1,2,5,0,0,0,1,0,1,Low,low,1,0,1,0,0,0,0,0,0,24,medium,0,0,1,3
12/21/2013,Saturday,2388,1,1,3,3,4,0,0,0,1,0,2,Low,low,1,0,0,1,0,0,0,0,0,25,high,0,0,1,3
12/22/2013,Sunday,1361,1,1,2,3,3,0,0,0,1,0,2,Low,low,1,0,0,0,1,0,0,0,0,26,high,0,0,1,3
12/23/2013,Monday,1088,1,1,2,3,2,0,0,0,1,0,1,Low,low,1,1,0,0,0,1,0,0,0,27,high,1,0,1,2
12/24/2013,Tuesday,2117,1,1,3,3,1,0,0,0,1,0,3,Low,low,1,1,0,0,0,0,1,0,0,28,high,1,1,1,2
12/25/2013,Wednesday,2053,1,1,3,3,0,0,0,0,1,0,0,None,none,0,1,0,0,0,0,0,1,0,29,high,1,1,1,2
12/26/2013,Thursday,2429,1,1,3,3,1,0,0,0,1,0,0,None,none,0,1,0,0,0,0,0,0,1,30,high,0,1,1,2
12/27/2013,Friday,2811,1,1,3,3,2,0,0,0,1,0,1,Low,low,1,0,1,0,0,0,0,0,0,31,high,0,0,1,3
12/28/2013,Saturday,3649,1,1,3,3,3,0,0,0,1,0,0,None,none,0,0,0,1,0,0,0,0,0,32,high,0,0,1,3
12/29/2013,Sunday,2200,1,1,3,3,4,0,0,0,1,0,0,None,none,0,0,0,0,1,0,0,0,0,33,high,0,0,1,3
12/30/2013,Monday,1944,1,1,2,3,5,0,0,0,1,0,0,None,none,0,1,0,0,0,1,0,0,0,34,high,1,0,1,2
12/31/2013,Tuesday,1856,1,1,2,3,6,0,0,0,1,0,2,Low,low,1,1,0,0,0,0,1,0,0,35,high,1,1,1,2
1/1/2014,Wednesday,2550,1,1,3,3,7,0,0,0,1,1,0,None,none,0,1,0,0,0,0,0,1,0,36,high,1,1,0,2
1/2/2014,Thursday,1132,1,1,2,3,8,0,0,0,1,0,0,None,none,0,1,0,0,0,0,0,0,1,37,high,0,1,0,2
1/3/2014,Friday,2288,1,1,3,3,9,0,0,0,1,0,4,MediumLow,medium,2,0,1,0,0,0,0,0,0,38,high,0,0,0,3
1/4/2014,Saturday,5633,1,1,3,3,10,0,0,0,1,0,0,None,none,0,0,0,1,0,0,0,0,0,39,high,0,0,0,3
1/5/2014,Sunday,3299,1,1,3,3,11,0,0,0,1,0,0,None,none,0,0,0,0,1,0,0,0,0,40,high,0,0,0,3
1/6/2014,Monday,367,1,1,1,1,12,0,0,0,1,0,0,None,none,0,1,0,0,0,1,0,0,0,41,low,1,0,0,2
1/7/2014,Tuesday,324,1,1,1,1,13,0,0,0,1,0,0,None,none,0,1,0,0,0,0,1,0,0,42,low,1,1,0,2
