Date,Day of Week,Visits,Year,xmas,Class,days from christmas,spring,break,holiday,snowfall,snowclass,numsnowclass,weekday,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday
11/20/13,Wednesday,645,1,0,2,28,0,0,0,0,None,0,1,0,0,0,0,0,1,0
11/21/13,Thursday,317,1,0,1,27,0,0,0,0,None,0,1,0,0,0,0,0,0,1
11/22/13,Friday,303,1,0,1,26,0,0,0,0,None,0,0,1,0,0,0,0,0,0
11/23/13,Saturday,1160,1,0,3,25,0,0,0,0,None,0,0,0,1,0,0,0,0,0
11/24/13,Sunday,822,1,0,2,24,0,0,0,0,None,0,0,0,0,1,0,0,0,0
12/2/13,Monday,496,1,0,1,23,0,0,0,15,High,5,1,0,0,0,1,0,0,0
12/3/13,Tuesday,544,1,0,2,22,0,0,0,3,Low,1,1,0,0,0,0,1,0,0
12/4/13,Wednesday,454,1,0,1,21,0,0,0,0,None,0,1,0,0,0,0,0,1,0
12/5/13,Thursday,397,1,0,1,20,0,0,0,0,None,0,1,0,0,0,0,0,0,1
12/6/13,Friday,345,1,0,1,19,0,0,0,0,None,0,0,1,0,0,0,0,0,0
12/7/13,Saturday,1772,1,0,3,18,0,0,0,0,None,0,0,0,1,0,0,0,0,0
12/8/13,Sunday,1603,1,0,3,17,0,0,0,0,None,0,0,0,0,1,0,0,0,0
12/9/13,Monday,215,1,0,1,16,0,0,0,0,None,0,1,0,0,0,1,0,0,0
12/10/13,Tuesday,190,1,0,1,15,0,0,0,0,None,0,1,0,0,0,0,1,0,0
12/11/13,Wednesday,310,1,0,1,14,0,0,0,0,None,0,1,0,0,0,0,0,1,0
12/12/13,Thursday,353,1,0,1,13,0,0,0,0,None,0,1,0,0,0,0,0,0,1
12/13/13,Friday,741,1,0,2,12,0,0,0,0,None,0,0,1,0,0,0,0,0,0
12/14/13,Saturday,2698,1,1,3,11,0,1,0,1,Low,1,0,0,1,0,0,0,0,0
12/15/13,Sunday,1775,1,1,3,10,0,1,0,0,None,0,0,0,0,1,0,0,0,0
12/16/13,Monday,551,1,1,2,9,0,1,0,0,None,0,1,0,0,0,1,0,0,0
12/17/13,Tuesday,320,1,1,1,8,0,1,0,0,None,0,1,0,0,0,0,1,0,0
12/18/13,Wednesday,362,1,1,1,7,0,1,0,0,None,0,1,0,0,0,0,0,1,0
12/19/13,Thursday,586,1,1,2,6,0,1,0,1,Low,1,1,0,0,0,0,0,0,1
12/20/13,Friday,893,1,1,2,5,0,1,0,1,Low,1,0,1,0,0,0,0,0,0
12/21/13,Saturday,2388,1,1,3,4,0,1,0,2,Low,1,0,0,1,0,0,0,0,0
12/22/13,Sunday,1361,1,1,3,3,0,1,0,2,Low,1,0,0,0,1,0,0,0,0
12/23/13,Monday,1088,1,1,3,2,0,1,0,1,Low,1,1,0,0,0,1,0,0,0
12/24/13,Tuesday,2117,1,1,3,1,0,1,0,3,Low,1,1,0,0,0,0,1,0,0
12/25/13,Wednesday,2053,1,1,3,0,0,1,0,0,None,0,1,0,0,0,0,0,1,0
12/26/13,Thursday,2429,1,1,3,1,0,1,0,0,None,0,1,0,0,0,0,0,0,1
12/27/13,Friday,2811,1,1,3,2,0,1,0,1,Low,1,0,1,0,0,0,0,0,0
12/28/13,Saturday,3649,1,1,3,3,0,1,0,0,None,0,0,0,1,0,0,0,0,0
12/29/13,Sunday,2200,1,1,3,4,0,1,0,0,None,0,0,0,0,1,0,0,0,0
12/30/13,Monday,1944,1,1,3,5,0,1,0,0,None,0,1,0,0,0,1,0,0,0
12/31/13,Tuesday,1856,1,1,3,6,0,1,0,2,Low,1,1,0,0,0,0,1,0,0
1/1/14,Wednesday,2550,1,1,3,7,0,1,1,0,None,0,1,0,0,0,0,0,1,0
1/2/14,Thursday,1132,1,1,3,8,0,1,0,0,None,0,1,0,0,0,0,0,0,1
1/3/14,Friday,2288,1,1,3,9,0,1,0,4,MediumLow,2,0,1,0,0,0,0,0,0
1/4/14,Saturday,5633,1,1,3,10,0,1,0,0,None,0,0,0,1,0,0,0,0,0
1/5/14,Sunday,3299,1,1,3,11,0,1,0,0,None,0,0,0,0,1,0,0,0,0
1/6/14,Monday,367,1,1,1,12,0,1,0,0,None,0,1,0,0,0,1,0,0,0
1/7/14,Tuesday,324,1,1,1,13,0,1,0,0,None,0,1,0,0,0,0,1,0,0
1/8/14,Wednesday,376,1,1,1,14,0,1,0,0,None,0,1,0,0,0,0,0,1,0
1/9/14,Thursday,1245,1,1,3,15,0,1,0,8,MediumHigh,4,1,0,0,0,0,0,0,1
1/10/14,Friday,2238,1,1,3,16,0,1,0,1,Low,1,0,1,0,0,0,0,0,0
1/11/14,Saturday,3106,1,1,3,17,0,1,0,14,High,5,0,0,1,0,0,0,0,0
1/12/14,Sunday,6195,1,1,3,18,0,1,0,8,MediumHigh,4,0,0,0,1,0,0,0,0
1/13/14,Monday,1088,1,0,3,19,0,0,0,0,None,0,1,0,0,0,1,0,0,0
1/14/14,Tuesday,986,1,0,2,20,0,0,0,0,None,0,1,0,0,0,0,1,0,0
1/15/14,Wednesday,1392,1,0,3,21,0,0,0,0,None,0,1,0,0,0,0,0,1,0
1/16/14,Thursday,906,1,0,2,22,0,0,0,0,None,0,1,0,0,0,0,0,0,1
1/17/14,Friday,1932,1,0,3,23,0,0,0,0,None,0,0,1,0,0,0,0,0,0
1/18/14,Saturday,5429,1,0,3,24,0,0,0,0,None,0,0,0,1,0,0,0,0,0
1/19/14,Sunday,3396,1,0,3,25,0,0,0,0,None,0,0,0,0,1,0,0,0,0
1/20/14,Monday,2766,1,0,3,26,0,0,1,0,None,0,1,0,0,0,1,0,0,0
1/21/14,Tuesday,501,1,0,2,27,0,0,0,0,None,0,1,0,0,0,0,1,0,0
1/22/14,Wednesday,689,1,0,2,28,0,0,0,0,None,0,1,0,0,0,0,0,1,0
1/23/14,Thursday,679,1,0,2,29,0,0,0,0,None,0,1,0,0,0,0,0,0,1
1/24/14,Friday,1653,1,0,3,30,0,0,0,0,None,0,0,1,0,0,0,0,0,0
1/25/14,Saturday,4746,1,0,3,31,0,0,0,0,None,0,0,0,1,0,0,0,0,0
1/26/14,Sunday,4127,1,0,3,32,0,0,0,0,None,0,0,0,0,1,0,0,0,0
1/27/14,Monday,791,1,0,2,33,0,0,0,0,None,0,1,0,0,0,1,0,0,0
1/28/14,Tuesday,368,1,0,1,34,0,0,0,3,Low,1,1,0,0,0,0,1,0,0
